[09:06:03] [main/INFO] (FabricLoader) Loading for game Minecraft 1.16.5
[09:06:03] [main/DEBUG] (FabricLoader) Requesting deobfuscation of minecraft-1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2.jar
[09:06:03] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/Users/ozheng/.gradle/caches/fabric-loom/1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2/minecraft-1.16.5-mapped-net.fabricmc.yarn-1.16.5+build.6-v2.jar to classpath.
[09:06:03] [main/DEBUG] (FabricLoader|EntrypointTransformer) Found game constructor: net.minecraft.client.main.Main -> net.minecraft.client.MinecraftClient
[09:06:04] [main/DEBUG] (FabricLoader|EntrypointTransformer) Patching game constructor <init>(Lnet/minecraft/client/RunArgs;)V
[09:06:04] [main/DEBUG] (FabricLoader|EntrypointTransformer) Run directory field is thought to be net/minecraft/client/MinecraftClient/runDirectory
[09:06:04] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/client/ClientBrandRetriever::getClientModName
[09:06:04] [main/DEBUG] (FabricLoader|EntrypointTransformer) Applying brand name hook to net/minecraft/server/MinecraftServer::getServerModName
[09:06:04] [main/DEBUG] (FabricLoader|EntrypointTransformer) [EntrypointTransformer] Patched 3 classes.
[09:06:07] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Adding dev classpath directories to classpath.
[09:06:07] [main/DEBUG] (FabricLoader) [Knot] Proposed file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/build/classes/java/main/ to classpath.
[09:06:07] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-textures-v0/1.0.5+a4467d2a3a/fabric-textures-v0-1.0.5+a4467d2a3a.jar
[09:06:07] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-models-v0/0.1.1+f8ac1db23a/fabric-models-v0-0.1.1+f8ac1db23a.jar
[09:06:07] [ForkJoinPool-1-worker-3/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-textures-v0/1.0.5+a4467d2a3a/fabric-textures-v0-1.0.5+a4467d2a3a.jar
[09:06:07] [ForkJoinPool-1-worker-5/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-models-v0/0.1.1+f8ac1db23a/fabric-models-v0-0.1.1+f8ac1db23a.jar
[09:06:07] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-v1/1.3.1+f8ac1db23a/fabric-rendering-v1-1.3.1+f8ac1db23a.jar
[09:06:08] [ForkJoinPool-1-worker-7/DEBUG] (Fabric|Loader) Testing file:/Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-rendering-v1/1.3.1+f8ac1db23a/fabric-rendering-v1-1.3.1+f8ac1db23a.jar
[09:06:08] [main/DEBUG] (Fabric|Loader) [ClasspathModCandidateFinder] Processing /Users/ozheng/Desktop/Things/.Tech%20Stuf/COD%20FISHING/CodeStore/Eclipse/plugin%20dev/Moose%20Mod/.gradle/loom-cache/remapped_mods/net_fabricmc_yarn_1_16_5_1_16_5_build_6_v2/net/fabricmc/fabric-api/fabric-command-api-v1/1.0.9+a4467d2a3a/fabric-command-api-v1-1.0.9+a4467d2a3a.jar
